epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,217.285,2.25928,1.26447,0.85407,0.70525,0.51485,0.5215,0.18016,2.30808,1.10143,0.7992,0.0011684,0.0011684,0.0011684
44,222.36,2.46566,1.45188,0.83414,0.59776,0.44145,0.50122,0.16461,2.10317,1.30463,0.7895,0.0011486,0.0011486,0.0011486
45,227.378,2.43743,1.34313,0.85856,0.58051,0.39604,0.47002,0.13949,2.54017,1.40427,0.80269,0.0011288,0.0011288,0.0011288
46,232.613,2.45436,1.25029,0.86292,0.69422,0.28713,0.37384,0.12745,2.58187,1.40633,0.80151,0.001109,0.001109,0.001109
47,237.592,2.34803,1.31461,0.83991,0.60006,0.40594,0.4756,0.16785,2.11442,1.28527,0.79554,0.0010892,0.0010892,0.0010892
48,242.685,2.36296,1.27916,0.83615,0.48385,0.48515,0.43616,0.15296,2.11093,1.29259,0.78611,0.0010694,0.0010694,0.0010694
49,247.812,2.3113,1.31201,0.83533,0.38671,0.38085,0.35412,0.1106,2.27305,1.58061,0.78554,0.0010496,0.0010496,0.0010496
50,252.864,2.32836,1.27177,0.83633,0.4406,0.43564,0.4524,0.14379,2.12834,1.48406,0.7834,0.0010298,0.0010298,0.0010298
51,258.226,2.24737,1.19841,0.83605,0.70806,0.55233,0.58852,0.22042,2.32649,1.2011,0.80877,0.00101,0.00101,0.00101
52,263.393,2.3471,1.29167,0.83499,0.80207,0.44139,0.54531,0.19509,2.10003,1.09543,0.79493,0.0009902,0.0009902,0.0009902
53,268.375,2.17309,1.14336,0.83659,0.51337,0.41584,0.46157,0.16666,2.30757,1.37865,0.79328,0.0009704,0.0009704,0.0009704
54,273.069,2.22067,1.23158,0.83374,0.53018,0.51485,0.49232,0.20773,2.14295,1.18132,0.79085,0.0009506,0.0009506,0.0009506
55,277.797,2.22676,1.15047,0.83986,0.49538,0.45545,0.50481,0.16028,2.11648,1.22571,0.78385,0.0009308,0.0009308,0.0009308
56,282.457,2.2793,1.24668,0.84023,0.45779,0.48515,0.44932,0.18684,2.12196,1.23532,0.79528,0.000911,0.000911,0.000911
57,287.293,2.22474,1.11929,0.8327,0.48062,0.44896,0.4416,0.17255,1.90617,1.12038,0.78983,0.0008912,0.0008912,0.0008912
58,292.069,2.31355,1.13193,0.83475,0.48879,0.54455,0.48344,0.15989,2.00669,1.23572,0.7831,0.0008714,0.0008714,0.0008714
59,297.065,2.07787,1.08175,0.81982,0.50174,0.4786,0.51047,0.17675,2.34535,1.33375,0.79642,0.0008516,0.0008516,0.0008516
60,301.81,2.16924,1.09691,0.85528,0.51766,0.51007,0.48306,0.19484,2.01391,1.33118,0.79437,0.0008318,0.0008318,0.0008318
61,306.277,2.26024,1.15664,0.83891,0.46938,0.47525,0.47091,0.20487,2.02167,1.25397,0.79288,0.000812,0.000812,0.000812
62,311.002,2.14487,1.12814,0.83503,0.54433,0.45545,0.45773,0.17381,2.13673,1.35432,0.78966,0.0007922,0.0007922,0.0007922
63,315.639,2.15161,1.19242,0.83165,0.55357,0.52475,0.50558,0.1893,2.17743,1.09275,0.78947,0.0007724,0.0007724,0.0007724
64,320.144,2.04369,1.08494,0.82593,0.80297,0.55446,0.61428,0.24413,2.06266,0.95963,0.7918,0.0007526,0.0007526,0.0007526
65,324.527,2.14023,1.0977,0.84398,0.66401,0.48515,0.5965,0.23916,2.10214,1.08389,0.79053,0.0007328,0.0007328,0.0007328
66,329.022,2.07738,1.06836,0.84044,0.52746,0.49505,0.52394,0.18798,2.10873,1.23841,0.7838,0.000713,0.000713,0.000713
67,333.539,2.20788,1.09384,0.85289,0.53212,0.50672,0.51872,0.18884,2.21101,1.18763,0.79321,0.0006932,0.0006932,0.0006932
68,338.626,2.04718,1.08016,0.83076,0.56475,0.52673,0.59386,0.24013,1.87392,1.04695,0.78749,0.0006734,0.0006734,0.0006734
69,343.915,2.20139,0.9989,0.84524,0.82966,0.48228,0.60721,0.22542,1.9675,1.00738,0.79084,0.0006536,0.0006536,0.0006536
70,348.629,2.08109,1.08304,0.84282,0.67418,0.47525,0.58533,0.21644,1.89693,1.07111,0.78596,0.0006338,0.0006338,0.0006338
71,353.425,2.01634,0.99076,0.83146,0.76081,0.47525,0.6099,0.23439,1.87479,1.04088,0.78691,0.000614,0.000614,0.000614
72,358.242,2.17345,1.07154,0.83105,0.67235,0.50795,0.58535,0.19547,2.30897,1.09252,0.79063,0.0005942,0.0005942,0.0005942
73,362.922,2.12834,1.0753,0.82363,0.58582,0.52475,0.56494,0.21199,2.07298,1.05362,0.78884,0.0005744,0.0005744,0.0005744
74,367.63,2.02723,0.98594,0.82669,0.62743,0.51485,0.56739,0.22131,2.19619,1.0927,0.79144,0.0005546,0.0005546,0.0005546
